Date, Quantity (000's), Total Value (Lacs)
2009-02-25, 77215, 1190553.23
2009-02-26, 74696, 1139332.94
2009-02-27, 92999, 1443248.53
2009-02-28,3123, 48345.98
2009-03-02, 79396, 1252041.72
2009-03-03, 83296, 1277188.78
2009-03-04, 73404, 1110807.73
2009-03-05, 65749, 1002147.38
2009-03-06, 68858, 1070558.18
2009-03-07,3247, 50451.36
2009-03-09, 61905, 958471.23
2009-03-10, 71031, 1071566.29
2009-03-11, 35327, 530322.52
2009-03-12, 81845, 1249896.02
2009-03-13, 67762, 1039802.4
2009-03-14,2372, 36360.83
2009-03-16, 63335, 964520.27
2009-03-17, 58295, 884380.3
2009-03-18, 93188, 1386689.32
2009-03-19, 99333, 1518071.89
2009-03-20, 74234, 1150924.96
2009-03-21,2882, 44698.23
2009-03-23, 53986, 833292.4
2009-03-24, 79894, 1210204.97
2009-03-25, 86359, 1306363.93
2009-03-26, 58575, 892873.93
2009-03-27, 57471, 869456.98
2009-03-28,3400, 51362.11
2009-03-30, 89263, 1355622.27
2009-03-31, 67708, 1019282.49
2009-04-01, 55871, 842810.55
2009-04-02, 88977, 1316752.21
2009-04-03, 57605, 841551.75
2009-04-04,4406, 63802.76
2009-04-06, 58517, 827551.1
2009-04-07, 34584, 492521.09
2009-04-08, 47644, 683288.92
2009-04-09, 41337, 586925.71
2009-04-11,2123, 30133.03
2009-04-13, 39615, 568844.39
2009-04-14, 29270, 419262.14
2009-04-15, 43907, 628198.8
2009-04-16, 51088, 726039.55
2009-04-17, 44060, 617002.43
2009-04-18,2020, 28324.84
2009-04-20, 52900, 753148.46
2009-04-21, 50784, 733207.55
2009-04-22, 46209, 664528.39
2009-04-23, 48300, 699846.49
2009-04-24, 48153, 703742.94
2009-04-25,1459, 21337.5
2009-04-27, 37409, 551522.94
2009-04-28, 44040, 641087.41
2009-04-29, 32635, 472892.35
2009-05-01, 20999, 299658.52
2009-05-02,2045, 29207.33
2009-05-04, 42607, 614036.29
2009-05-05, 44370, 640702.74
2009-05-06, 42922, 620629.48
2009-05-07, 55721, 811108.85
2009-05-08, 42973, 623743.33
2009-05-11, 32371, 471364.05
2009-05-12, 42374, 619374.54
2009-05-13, 50613, 749103.29
2009-05-14, 32501, 482170.42
2009-05-15, 31701, 469353.79
2009-05-16,5023, 74245.55
2009-05-18, 67316, 966880.06
2009-05-19, 49162, 699335.99
2009-05-20, 44911, 642511.13
2009-05-21, 42929, 619118.26
2009-05-22, 35610, 516728.08
2009-05-23,1348, 19563.96
2009-05-25, 12539, 182660.8
2009-05-26, 48289, 704932.44
2009-05-27, 44184, 645417.74
2009-05-28, 47522, 696467.15
2009-05-29, 55016, 815412.6
2009-05-30,8463, 126052.98
2009-06-01, 53279, 792509.89
2009-06-02, 44480, 659877.18
2009-06-03, 48958, 725354.54
2009-06-04, 44516, 657432
2009-06-05, 52440, 772123.57
2009-06-06,2356, 34462.32
2009-06-08, 37092, 540836.35
2009-06-09, 37988, 555770.84
2009-06-10, 44061, 644632.63
2009-06-11, 44275, 647123.74
2009-06-12, 41913, 609091.65
2009-06-13,1554, 22489.81
2009-06-15, 34743, 501528.31
2009-06-16, 28083, 405716.88
2009-06-17, 31884, 462336.72
2009-06-18, 33132, 483091.12
2009-06-19, 23661, 343849.1
2009-06-20,42, 10790.58
2009-06-22, 40409, 586185.88
2009-06-23, 34716, 502138.19
2009-06-24, 41276, 602246.52
2009-06-25, 29979, 439758.07
2009-06-26, 32476, 477510.67
2009-06-27,1051, 15393.7
2009-06-29, 26824, 391611.82
2009-06-30, 37678, 546964.43
2009-07-01, 36478, 528717.08
2009-07-02, 27588, 399484.21
2009-07-03, 12135, 175572.87
2009-07-04,97, 12969.91
2009-07-06, 32676, 473922.15
2009-07-07, 29453, 428969.19
2009-07-08, 42279, 615117.28
2009-07-09, 27139, 392862.33
2009-07-10, 26921, 389262.79
2009-07-11,48, 13745.9
2009-07-13, 30000, 436621.39
2009-07-14, 27504, 402616.07
2009-07-15, 28959, 426277.95
2009-07-16, 26267, 387694.57
2009-07-17, 18922, 279246.97
2009-07-18,1493, 22040.12
2009-07-20, 33237, 493734.08
2009-07-21, 27125, 403095.55
2009-07-22, 27983, 416744.73
2009-07-23, 30559, 456851.84
2009-07-24, 19012, 283122.94
2009-07-25,1418, 21106.19
2009-07-27, 24195, 361383.25
2009-07-28, 40009, 593403.74
2009-07-29, 37715, 554265.95
2009-07-30, 27138, 398429.4
2009-07-31, 47943, 705034.02
2009-08-01,4185, 62022.21
2009-08-03, 28185, 417737.92
2009-08-04, 31763, 470835.96
2009-08-05, 20463, 304975.88
2009-08-06, 33795, 504824.23
2009-08-07, 30611, 455871.55
2009-08-08,13, 10599.1
2009-08-10, 27958, 412985.45
2009-08-11, 21407, 316334.87
2009-08-12, 21083, 312899.8
2009-08-13, 22475, 335595.18
2009-08-14, 24997, 373510.72
2009-08-17, 25423, 377574.93
2009-08-18, 21610, 321296.13
2009-08-19, 26075, 388973.87
2009-08-20, 18276, 272460.83
2009-08-21, 28594, 428214.84
2009-08-22,1304, 19569.93
2009-08-24, 28046, 420464.68
2009-08-25, 29558, 443314.84
2009-08-26, 23604, 354347.69
2009-08-27, 21459, 322271.81
2009-08-28, 25869, 390091.95
2009-08-29,1069, 16156.16
2009-08-31, 24677, 372684.29
2009-09-01, 31493, 476470.4
2009-09-02, 40345, 619977.91
2009-09-03, 42337, 661773.87
2009-09-04, 32572, 511796.99
2009-09-05,58, 15078.52
2009-09-07, 16650, 261794.47
2009-09-08, 50493, 797536.06
2009-09-09, 40620, 638471.07
2009-09-10, 42087, 657505.47
2009-09-11, 36876, 582816.69
2009-09-12,1354, 21436.38
2009-09-14, 27260, 430673.25
2009-09-15, 37446, 590820
2009-09-16, 41160, 656201.25
2009-09-17, 40954, 651538.92
2009-09-18, 35001, 554803.96
2009-09-19,1614, 25517.03
2009-09-21, 19927, 313219.91
2009-09-22, 31227, 494486.57
2009-09-23, 33457, 529498.43
2009-09-24, 51977, 817898.2
2009-09-25, 42023, 653288.85
2009-09-26,2324, 36082.84
2009-09-28, 13240, 206068.84
2009-09-29, 36585, 567605.69
2009-09-30, 53499, 835005.81
2009-10-01, 43731, 683005.2
2009-10-03,3730, 58236.26
2009-10-05, 30075, 468470.85
2009-10-06, 50693, 796567.05
2009-10-07, 42150, 667196.25
2009-10-08, 52846, 837781.19
2009-10-09, 32514, 514363.34
2009-10-10,1104, 17481.8
2009-10-12, 30224, 480825.57
2009-10-13, 26546, 424447.97
2009-10-14, 41762, 665693.93
2009-10-15, 44343, 700809.78
2009-10-16, 32990, 521009.83
2009-10-17,2854, 45243.45
2009-10-19, 14181, 224480.05
2009-10-20, 35144, 559317.03
2009-10-21, 38258, 608843.11
2009-10-22, 39435, 630924.47
2009-10-23, 47076, 753137.11
2009-10-24,1478, 23626.31
2009-10-26, 38532, 614232.71
2009-10-27, 33538, 531681.61
2009-10-28, 36343, 577082.84
2009-10-29, 34266, 544788.22
2009-10-30, 32946, 524751.02
2009-10-31,2838, 45297.46
2009-11-02, 23944, 385688.07
2009-11-03, 58785, 962087.59
2009-11-04, 44398, 737380.81
2009-11-05, 30782, 510925.87
2009-11-06, 40220, 668082.94
2009-11-07,1921, 31976.24
2009-11-09, 33056, 550996.02
2009-11-10, 43517, 723105.21
2009-11-11, 37780, 632671.85
2009-11-12, 44029, 740945.11
2009-11-13, 46843, 781741.19
2009-11-14,1859, 31227.85
2009-11-16, 42257, 713899.15
2009-11-17, 41164, 699064.83
2009-11-18, 46608, 798822.66
2009-11-19, 47025, 806791.58
2009-11-20, 47483, 817702.69
2009-11-21,5542, 96277.29
2009-11-23, 45944, 806137.46
2009-11-24, 44435, 779783.84
2009-11-25, 43609, 770092.57
2009-11-26, 52115, 930263.16
2009-11-27, 121647, 2143352.66
2009-11-30, 76831, 1355626.87
2009-12-01, 60586, 1083440.37
2009-12-02, 53795, 977506.74
2009-12-03, 67437, 1226869.12
2009-12-04, 87471, 1564149.88
2009-12-05,4421, 77699.92
2009-12-07, 82647, 1435555.33
2009-12-08, 63824, 1118343
2009-12-09, 82428, 1421177.82
2009-12-10, 54200, 926940.17
2009-12-11, 67514, 1154418.39
2009-12-12,2545, 43176.27
2009-12-14, 45930, 782560.39
2009-12-15, 55187, 937937.69
2009-12-16, 47134, 808523.98
2009-12-17, 65015, 1109338.57
2009-12-18, 65094, 1097790.39
2009-12-19,1319, 22384.93
2009-12-21, 56554, 954339.21
2009-12-22, 68512, 1137834.71
2009-12-23, 43958, 728699.4
2009-12-24, 34504, 578114.9
2009-12-26,2375, 39948.91
2009-12-28, 28047, 472241.41
2009-12-29, 38941, 653116.08
2009-12-30, 43140, 717654.89
2009-12-31, 28966, 484411.53
2010-01-01,1464, 24426.49
2010-01-02,2519, 42132.52
2010-01-04, 48321, 811343.79
2010-01-05, 47998, 810325.85
2010-01-06, 52572, 885526.46
2010-01-07, 41615, 700632.6
2010-01-08, 55432, 930703.7
2010-01-09,2712, 45810.64
2010-01-11, 40106, 683634.87
2010-01-12, 47206, 803269.65
2010-01-13, 59147, 992024.24
2010-01-14, 42123, 710713.98
2010-01-15, 37851, 637794.26
2010-01-16,1324, 22318.33
2010-01-18, 15818, 266400.51
2010-01-19, 38123, 643694.1
2010-01-20, 57496, 965122.71
2010-01-21, 70798, 1171144.67
2010-01-22, 56520, 929490.55
2010-01-23,2088, 34436.31
2010-01-25, 37303, 615948.97
2010-01-27, 52067, 859361.2
2010-01-28, 60641, 993315.27
2010-01-29, 68068, 1107649.29
2010-01-30,8353, 135851.06
2010-02-01, 47562, 781075.52
2010-02-02, 43709, 730011.72
2010-02-03, 49774, 831499.76
2010-02-04, 79397, 1299218.36
2010-02-05, 68615, 1103937.17
2010-02-06,4187, 68184.12
2010-02-08, 46573, 758352.79
2010-02-09, 54344, 885654.89
2010-02-10, 56590, 921537.66
2010-02-11, 57924, 948318.48
2010-02-12, 33239, 545238.09
2010-02-13,1895, 31268.27
2010-02-15, 23612, 390814.31
2010-02-16, 45120, 754746.5
2010-02-17, 57647, 966092.77
2010-02-18, 62310, 1038839.32
2010-02-19, 52906, 884813.86
2010-02-20,2338, 39329.93
2010-02-22, 43237, 725938.01
2010-02-23, 48857, 814231.96
2010-02-24, 59266, 978959.93
2010-02-25, 59099, 977180.13
2010-02-26, 45653, 764660.59
2010-02-27,1962, 32956.42
2010-03-01, 17502, 293948.8
2010-03-02, 48562, 820006.58
2010-03-03, 47729, 812510.94
2010-03-04, 45231, 767893.81
2010-03-05, 43373, 733637.13
2010-03-06,1113, 18813.62
2010-03-08, 41345, 694749.32
2010-03-09, 47687, 795100.57
2010-03-10, 63831, 1061119.59
2010-03-11, 50144, 827618.68
2010-03-12, 52723, 871548.48
2010-03-13,2421, 39844.66
2010-03-15, 32911, 543254.34
2010-03-16, 38411, 640805.84
2010-03-17, 40378, 675725.7
2010-03-18, 41091, 686812.85
2010-03-19, 58873, 976185.98
2010-03-20,2593, 42819.67
2010-03-22, 47679, 783769.63
2010-03-23, 43052, 707932.02
2010-03-24, 44287, 724717.91
2010-03-25, 42599, 694290.85
2010-03-26, 51992, 848200.36
2010-03-27,2733, 44844.45
2010-03-29, 35750, 585599.9
2010-03-30, 36861, 603001.03
2010-03-31, 48071, 787755.66
2010-04-01, 35840, 590264.48
2010-04-03,2110, 34865.48
2010-04-05, 30245, 498916.46
2010-04-06, 34122, 563620.88
2010-04-07, 42458, 707650.54
2010-04-08, 41248, 691091.88
2010-04-09, 38589, 648183.4
2010-04-10,1282, 21582.84
2010-04-12, 36625, 619866.73
2010-04-13, 47690, 801270.15
2010-04-14, 26081, 438584.73
2010-04-15, 31707, 532817.6
2010-04-16, 61659, 1029043.94
2010-04-17,2737, 45461.75
2010-04-19, 48822, 809015.83
2010-04-20, 38747, 645204.67
2010-04-21, 39043, 651031.23
2010-04-22, 46177, 769531.17
2010-04-23, 56424, 940984.55
2010-04-24,3067, 51569.34
2010-04-26, 26675, 448009.94
2010-04-27, 52708, 887725.33
2010-04-28, 51784, 881941.29
2010-04-29, 40634, 690683.04
2010-04-30, 31720, 541870.29
2010-05-03, 29825, 513081
2010-05-04, 63404, 1092926.16
2010-05-05, 57838, 994830.2
2010-05-06, 63394, 1112594.89
2010-05-07, 69017, 1231510.67
2010-05-08,2126, 38184.63
2010-05-10, 60853, 1066846.23
2010-05-11, 56392, 1008682.21
2010-05-12, 65300, 1187238.13
2010-05-13, 49482, 895654.4
2010-05-14, 72939, 1327076.78
2010-05-15,1752, 31866.39
2010-05-17, 60165, 1099572.74
2010-05-18, 55920, 1008166.64
2010-05-19, 75245, 1362867.41
2010-05-20, 76265, 1381660.35
2010-05-21, 65225, 1175326.89
2010-05-22,1546, 27840.77
2010-05-24, 42874, 775976.28
2010-05-25, 66010, 1216309.82
2010-05-26, 48463, 901131.9
2010-05-27, 33573, 618931.85
2010-05-28, 45533, 835353.87
2010-05-29,5112, 94387.19
2010-05-31, 30399, 558956.55
2010-06-01, 63867, 1193484.15
2010-06-02, 46085, 862056.71
2010-06-03, 48052, 889371.19
2010-06-04, 75394, 1392095.69
2010-06-05,4035, 75835.05
2010-06-07, 59121, 1110822.43
2010-06-08, 59284, 1128592.25
2010-06-09, 58183, 1096981.14
2010-06-10, 66283, 1238969.72
2010-06-11, 50448, 942875.99
2010-06-12,2041, 38251.89
2010-06-14, 60845, 1131406.56
2010-06-15, 46512, 866363.33
2010-06-16, 46232, 864454.74
2010-06-17, 50176, 940739.13
2010-06-18, 43223, 813528.61
2010-06-19,1407, 26535.48
2010-06-21, 60218, 1126336.03
2010-06-22, 46569, 866775.23
2010-06-23, 56319, 1052293.72
2010-06-24, 63088, 1180963.83
2010-06-25, 44507, 838343.17
2010-06-26,1630, 30683.57
2010-06-28, 66000, 1242783.77
2010-06-29, 65220, 1224849.28
2010-06-30, 53489, 1007769.78
2010-07-01, 75780, 1419016.4
2010-07-02, 54368, 1004078.03
2010-07-03,2200, 40788.82
2010-07-05, 14843, 274819.08
2010-07-06, 67659, 1245180.88
2010-07-07, 54004, 989922.76
2010-07-08, 62101, 1139355.04
2010-07-09, 45317, 831842.06
2010-07-10,1710, 31496.45
2010-07-12, 40352, 742159.68
2010-07-13, 41861, 772096.6
2010-07-14, 51908, 956847.87
2010-07-15, 53193, 980673.6
2010-07-16, 57639, 1056261.17
2010-07-17,2518, 46151.51
2010-07-19, 48913, 893551.25
2010-07-20, 51466, 940795.29
2010-07-21, 37643, 691136.95
2010-07-22, 56098, 1026070.16
2010-07-23, 53686, 983555.25
2010-07-24,1603, 29283.04
2010-07-26, 50584, 921144.11
2010-07-27, 85800, 1540570.82
2010-07-28, 60912, 1082340.62
2010-07-29, 53474, 950017.26
2010-07-30, 59350, 1058690.35
2010-07-31,9193, 164237.34
2010-08-02, 49570, 886631.8
2010-08-03, 38637, 693527.47
2010-08-04, 47922, 867216.35
2010-08-05, 32256, 583247.81
2010-08-06, 47434, 860899.12
2010-08-07,1614, 29376.2
2010-08-09, 33135, 603230.79
2010-08-10, 37486, 681428.68
2010-08-11, 64717, 1187189.14
2010-08-12, 56016, 1034785.06
2010-08-13, 35488, 658172.97
2010-08-14,1349, 25051.64
2010-08-16, 40195, 750511.4
2010-08-17, 29321, 547310.44
2010-08-18, 47917, 892918.33
2010-08-19, 38754, 726089.58
2010-08-20, 37337, 699158.6
2010-08-21,1041, 19501.61
2010-08-23, 25249, 472156.71
2010-08-24, 44733, 838266.61
2010-08-25, 46372, 877846.05
2010-08-26, 39479, 747413.8
2010-08-27, 43146, 816305.03
2010-08-28,1695, 32036.1
2010-08-30, 22098, 418086.18
2010-08-31, 45382, 864381.9
2010-09-01, 49628, 946834.32
2010-09-02, 35983, 685475.85
