Date, Quantity (000's), Total Value (Lacs)
2013-04-22, 50617, 1333727.29
2013-04-23, 61989, 1626879.62
2013-04-24, 24588, 648502.8
2013-04-25, 49054, 1313330.02
2013-04-26, 69205, 1879617.36
2013-04-27,3479, 94554.43
2013-04-29, 34800, 946166.93
2013-04-30, 44513, 1200896.71
2013-05-01, 32248, 857902.31
2013-05-02, 43885, 1175056.48
2013-05-03, 52016, 1405503.52
2013-05-04,2284, 61557.24
2013-05-06, 28121, 762539.29
2013-05-07, 48143, 1291593.09
2013-05-08, 43075, 1159000.46
2013-05-09, 37795, 1025031.23
2013-05-10, 61783, 1658638.69
2013-05-11,4101, 110710.53
2013-05-13, 46492, 1245681.87
2013-05-14, 50172, 1343316.01
2013-05-15, 73381, 1940378.99
2013-05-16, 63973, 1665347.72
2013-05-17, 59445, 1542685.52
2013-05-18,3397, 87789.4
2013-05-20, 65331, 1678618.58
2013-05-21, 58254, 1521194.13
2013-05-22, 77842, 2044095.05
2013-05-23, 59572, 1567335.37
2013-05-24, 39138, 1032508.33
2013-05-27, 15624, 412994.24
2013-05-28, 61631, 1627342.66
2013-05-29, 42496, 1128974.76
2013-05-30, 63757, 1720734.37
2013-05-31, 65907, 1791649.54
2013-06-01,4331, 116681.86
2013-06-03, 41484, 1127618.23
2013-06-04, 41491, 1126716.91
2013-06-05, 61857, 1697160.23
2013-06-06, 53822, 1491712.31
2013-06-07, 56130, 1557734.71
2013-06-08,1396, 38504.13
2013-06-10, 40322, 1121535.18
2013-06-11, 51374, 1435412.6
2013-06-12, 42403, 1178326.55
2013-06-13, 47015, 1313923.49
2013-06-14, 38087, 1055893.44
2013-06-15,1918, 53475.33
2013-06-17, 26004, 724146.36
2013-06-18, 43146, 1207910.59
2013-06-19, 30785, 860817.16
2013-06-20, 105683, 2884079.67
2013-06-21, 54756, 1470302.83
2013-06-22,1976, 53391.47
2013-06-24, 48429, 1295625.23
2013-06-25, 47098, 1254017.25
2013-06-26, 83641, 2179573.08
2013-06-27, 68015, 1759549.42
2013-06-28, 91518, 2304996.82
2013-06-29,3269, 83974.45
2013-07-01, 35112, 905115.5
2013-07-02, 31381, 817721.79
2013-07-03, 36169, 948141.02
2013-07-04, 16258, 425773.15
2013-07-05, 37528, 973587.65
2013-07-06,2251, 58556.04
2013-07-08, 24446, 636784.31
2013-07-09, 26237, 686835.39
2013-07-10, 25976, 678683.82
2013-07-11, 33149, 884122.44
2013-07-12, 25427, 676018.56
2013-07-13,1816, 48549.05
2013-07-15, 25900, 691669.58
2013-07-16, 26285, 696217.7
2013-07-17, 36027, 956083.98
2013-07-18, 25951, 689187.07
2013-07-19, 20857, 557072.96
2013-07-20,1231, 32897.86
2013-07-22, 33818, 923776.84
2013-07-23, 25695, 708508.14
2013-07-24, 33350, 916890.34
2013-07-25, 36695, 998670.75
2013-07-26, 33446, 915323.67
2013-07-27,5335, 147102.62
2013-07-29, 42074, 1172635.17
2013-07-30, 41621, 1177543.75
2013-07-31, 51006, 1444635.83
2013-08-01, 30662, 858655.14
2013-08-02, 31857, 884430.36
2013-08-03,1268, 35610.06
2013-08-05, 22581, 631408.5
2013-08-06, 24229, 672563.04
2013-08-07, 26568, 731473
2013-08-08, 24568, 680875.18
2013-08-09,9469, 264025.99
2013-08-10,13, 25475.39
2013-08-12, 29547, 844876.24
2013-08-13, 40322, 1166692.97
2013-08-14, 23075, 667862.35
2013-08-16, 30449, 923287.45
2013-08-17,2468, 75975.93
2013-08-19, 21179, 656025.27
2013-08-20, 30228, 929723.14
2013-08-21, 25990, 808821.2
2013-08-22, 31887, 1001415.12
2013-08-23, 29406, 924069.07
2013-08-24,2035, 64697.66
2013-08-26, 23062, 734838.59
2013-08-27, 34653, 1147608.31
2013-08-28, 44327, 1516314.86
2013-08-29, 32176, 1076641.45
2013-08-30, 31604, 1041603.47
2013-08-31,1651, 54386.13
2013-09-02, 14675, 480434
2013-09-03, 23896, 807410.03
2013-09-04, 30381, 1011158.47
2013-09-05, 28049, 910431.29
2013-09-06, 24973, 797282.95
2013-09-07,59, 21034.97
2013-09-09,7452, 236537.11
2013-09-10, 27065, 838800.15
2013-09-11, 19819, 608567.2
2013-09-12, 28543, 863205.36
2013-09-13, 24175, 719231.19
2013-09-14,2270, 68214.33
2013-09-16, 21986, 650682.32
2013-09-17, 28080, 839613.14
2013-09-18, 24377, 721591.63
2013-09-19, 28434, 863815.95
2013-09-20, 26461, 799580.21
2013-09-21,0
2013-09-23, 20053, 595749.13
2013-09-24, 18728, 556483.19
2013-09-25, 24587, 738092.55
2013-09-26, 23344, 699530.57
2013-09-27, 25799, 780453.14
2013-09-28,0
2013-09-30, 27704, 837876.72
2013-10-01, 24863, 731496.41
2013-10-03, 20994, 614768.45
2013-10-04, 17524, 511590.06
2013-10-05,0
2013-10-07, 13405, 393995.84
2013-10-08, 19362, 572404.19
2013-10-09, 20818, 609776.2
2013-10-10, 19777, 574922.07
2013-10-11, 23975, 684363.45
2013-10-12,0
2013-10-14, 17116, 492262.44
2013-10-15, 25489, 730272.33
2013-10-16, 10787, 311376.54
2013-10-17, 26036, 763824.31
2013-10-18, 19443, 575032.16
2013-10-19,0
2013-10-21, 13463, 400146.79
2013-10-22, 20548, 614110.02
2013-10-23, 14905, 449587.65
2013-10-24, 19815, 601964.18
2013-10-25, 18647, 570104.67
2013-10-26,0
2013-10-28, 17313, 535255.17
2013-10-29, 31702, 963156.33
2013-10-30, 19554, 590789.32
2013-10-31, 18192, 542855.39
2013-11-01, 15951, 476134.28
2013-11-02,0
2013-11-03,1821, 54390.72
2013-11-04,3985, 118729.7
2013-11-05, 12792, 378751.12
2013-11-06, 14787, 441997.26
2013-11-07, 24114, 723706.59
2013-11-08, 18463, 551155.35
2013-11-09,0
2013-11-11, 18791, 562538.32
2013-11-12, 18661, 564179.55
2013-11-13, 19651, 591327.6
2013-11-14, 16836, 509463.46
2013-11-15,5203, 157576.34
2013-11-16,0
2013-11-18, 15997, 482499.7
2013-11-19, 17028, 512430.27
2013-11-20, 21508, 650242.93
2013-11-21, 21181, 635824.7
2013-11-22, 19267, 579116.45
2013-11-23,0
2013-11-25, 20257, 603130.94
2013-11-26, 16686, 503082.34
2013-11-27, 20345, 610267.77
2013-11-28, 13223, 394344.27
2013-11-29, 20838, 620843.1
2013-11-30,0
2013-12-02, 14908, 433504.87
2013-12-03, 19291, 557768.84
2013-12-04, 23067, 673473.61
2013-12-05, 20085, 587528.06
2013-12-06, 22601, 657260.66
2013-12-07,0
2013-12-09, 13450, 389560.16
2013-12-10, 17649, 518623
2013-12-11, 18313, 540064.22
2013-12-12, 19050, 558036.64
2013-12-13, 17003, 497594.77
2013-12-14,0
2013-12-16, 24475, 709703.6
2013-12-17, 23348, 673186.31
2013-12-18, 17765, 510989.36
2013-12-19, 22442, 639505.73
2013-12-20, 19585, 556610.75
2013-12-21,0
2013-12-23, 12708, 360601.3
2013-12-24,9644, 273428.83
2013-12-26, 10418, 297618.24
2013-12-27, 12108, 344676.84
2013-12-28,0
2013-12-30, 10917, 309817.94
2013-12-31, 18880, 534062.59
2014-01-01,3472, 98241.09
2014-01-02, 17950, 516155.51
2014-01-03, 20481, 594395.75
2014-01-04,0
2014-01-06, 20948, 609056.32
2014-01-07, 18217, 526119.87
2014-01-08, 16955, 486977.95
2014-01-09, 15667, 450800.95
2014-01-10, 16343, 472258.69
2014-01-11,0
2014-01-13, 13643, 396549.17
2014-01-14, 10952, 319124.27
2014-01-15, 14423, 417227.05
2014-01-16, 13331, 386666.19
2014-01-17, 16096, 467811.93
2014-01-18,0
2014-01-20,9198, 269515.07
2014-01-21, 19322, 564249.49
2014-01-22, 13360, 389418.3
2014-01-23, 30313, 882065.45
2014-01-24, 20678, 605877.61
2014-01-25,0
2014-01-27, 15247, 451758.35
2014-01-28, 15877, 467590.43
2014-01-29, 21661, 637791.72
2014-01-30, 21616, 633730.06
2014-01-31, 21488, 623561.66
2014-02-01,0
2014-02-03, 13578, 391912.59
2014-02-04, 14960, 431149.06
2014-02-05, 18373, 530028.32
2014-02-06, 16231, 467071.83
2014-02-07, 16599, 477539.57
2014-02-08,0
2014-02-10, 13445, 389035.25
2014-02-11, 17105, 497398.42
2014-02-12, 13087, 380347.8
2014-02-13, 12849, 374349.7
2014-02-14, 13386, 392526.59
2014-02-15,0
2014-02-17, 23908, 712823.91
2014-02-18, 19938, 599755.16
2014-02-19, 20259, 606854.19
2014-02-20, 13083, 390699.61
2014-02-21, 10241, 305673.43
2014-02-22,0
2014-02-24, 11977, 360081.6
2014-02-25, 13402, 403734.17
2014-02-26, 18564, 558526.01
2014-02-27,7734, 232612.18
2014-02-28, 15132, 456291.11
2014-03-01,0
2014-03-03, 16761, 510302.12
2014-03-04, 24543, 742214.55
2014-03-05, 19912, 599800.13
2014-03-06, 20135, 604008.03
2014-03-07, 17035, 513152.08
2014-03-08,0
2014-03-10, 11241, 337358.88
2014-03-11, 20321, 611554.13
2014-03-12, 17710, 538115.41
2014-03-13, 14854, 451666.19
2014-03-14, 18530, 565705.52
2014-03-15,0
2014-03-17,4740, 144206.49
2014-03-18, 15070, 454326.38
2014-03-19, 16578, 498096.62
2014-03-20, 15748, 469054.02
2014-03-21, 13292, 395452.73
2014-03-22,0
2014-03-24, 15485, 454439.74
2014-03-25, 19716, 572557.93
2014-03-26, 19290, 553881.31
2014-03-27, 24481, 695075.45
2014-03-28, 21204, 599995.05
2014-03-29,0
2014-03-31, 19538, 553873.1
2014-04-01, 15359, 431158.82
2014-04-02, 16110, 450169
2014-04-03, 12801, 360194.2
2014-04-04, 14508, 409228.34
2014-04-07,9825, 277951.69
2014-04-08,7245, 206429.82
2014-04-09, 14366, 408850.5
2014-04-10, 14932, 428533.24
2014-04-11, 11622, 334181.65
2014-04-14,5257, 151956.68
2014-04-15, 19477, 556514.95
2014-04-16, 15607, 444652.88
2014-04-17, 11364, 324073.63
2014-04-21, 12120, 344224.83
2014-04-22, 15745, 450105.84
2014-04-23, 12595, 361988.05
2014-04-25, 16182, 467319.08
2014-04-28, 10822, 312934.65
2014-04-29, 16067, 462131
2014-04-30, 17721, 508513.65
2014-05-01,9274, 264925.98
2014-05-02, 16641, 476344.11
2014-05-05, 10548, 304967.9
2014-05-06, 10903, 314883.74
2014-05-07, 16209, 466930.21
2014-05-08, 11205, 319568.6
2014-05-09,9519, 271788.6
2014-05-12, 12463, 355978.15
2014-05-13, 10934, 311862.21
2014-05-14,7384, 211697.48
2014-05-15, 13844, 394508.04
2014-05-16, 12002, 336917.84
2014-05-19, 11252, 316569.64
2014-05-20, 11826, 332761.83
2014-05-21, 26476, 736072.25
2014-05-22, 21741, 592457.4
2014-05-23, 11260, 306537.8
2014-05-26,9322, 254396.71
2014-05-27, 21384, 578495.84
2014-05-28, 18039, 481751.07
2014-05-29, 23375, 618202.43
2014-05-30, 18486, 488023.4
2014-06-02, 11427, 296625.27
2014-06-03, 13287, 343144.26
2014-06-04, 10623, 275007.22
2014-06-05, 13356, 345660.45
2014-06-06, 11935, 308969.59
2014-06-09,8739, 226468.91
2014-06-10, 12351, 321935.8
2014-06-11, 13300, 346797.8
2014-06-12, 14968, 391153.49
2014-06-13, 13156, 348591.89
2014-06-16, 15490, 417111.18
2014-06-17, 17864, 477254.82
2014-06-18, 16261, 436366.01
2014-06-19, 23215, 630735.46
2014-06-20, 18780, 519226.24
2014-06-23, 12930, 357800.72
2014-06-24, 15614, 433136.3
2014-06-25, 15749, 436083.46
2014-06-26, 16859, 465829.85
2014-06-27, 11162, 309141.3
2014-06-30, 12052, 333256.26
2014-07-01, 12160, 338689.94
2014-07-02, 13853, 383089.97
2014-07-03, 15677, 431433.36
2014-07-04,9659, 265870.92
2014-07-07,9935, 272655.68
2014-07-08, 14873, 408963.42
2014-07-09, 12893, 356181.58
2014-07-10, 33653, 947427.4
2014-07-11, 16357, 463540.61
2014-07-14, 19726, 552063.59
2014-07-15, 19448, 540655.47
2014-07-16, 16733, 462799.3
2014-07-17, 25421, 711201.56
2014-07-18, 13270, 371949.32
2014-07-21, 11754, 330179.61
2014-07-22, 20611, 575552.56
2014-07-23, 14776, 412915.86
2014-07-24, 16664, 462457.33
2014-07-25, 12493, 346990.47
2014-07-28, 11778, 329304.75
2014-07-29,9820, 274544.37
2014-07-30, 16476, 458951.07
2014-07-31, 23595, 658697.29
2014-08-01, 17735, 498190.94
2014-08-04, 11875, 334364.77
2014-08-05, 12194, 342412.87
2014-08-06, 19790, 562888.85
2014-08-07, 15503, 444168.73
2014-08-08, 18404, 530668.37
2014-08-11,9118, 260884.15
2014-08-12, 13837, 397581.24
2014-08-13, 14511, 416170.37
2014-08-14, 15544, 445057.36
2014-08-18, 10166, 288132.25
2014-08-19, 11904, 336807.56
2014-08-20, 12050, 339901.43
2014-08-21, 19750, 551471.25
2014-08-22, 13517, 375819.02
2014-08-25,9894, 274778.56
2014-08-26, 14667, 409603.06
2014-08-27, 10201, 284089.6
2014-08-28, 16571, 464656.5
2014-08-29,5712, 159720
2014-09-01,5060, 141408.45
2014-09-02, 19044, 527415.01
2014-09-03, 17187, 472825.67
2014-09-04, 16886, 464641.11
2014-09-05, 14415, 395186.39
2014-09-08, 12287, 335373.72
2014-09-09, 16674, 454709.11
2014-09-10, 15971, 436188.33
2014-09-11, 21336, 577818.33
2014-09-12, 17320, 466191.04
2014-09-15, 16665, 449972.27
2014-09-16, 18258, 493227.72
2014-09-17, 11475, 309099.52
2014-09-18, 17363, 463140.23
2014-09-19, 18233, 484375.21
2014-09-22, 17037, 450736.51
2014-09-23, 19322, 515648.49
2014-09-24, 16300, 434206.18
2014-09-25, 22067, 587952.02
2014-09-26, 20773, 558977.15
2014-09-29, 14404, 387983.17
2014-09-30, 27212, 733009.26
2014-10-01, 20703, 557242.99
2014-10-03,8508, 226664.62
2014-10-06,6735, 179197.96
2014-10-07, 12776, 341639.79
2014-10-08, 14452, 388321.76
2014-10-09, 16322, 439897.31
2014-10-10, 13159, 354603.93
2014-10-13, 14801, 400713.53
2014-10-14, 17937, 487682.32
2014-10-16, 18466, 507583.2
2014-10-17, 14940, 408281.34
2014-10-20, 11485, 314400.18
2014-10-21, 13560, 373936.56
2014-10-22,9261, 254569.13
2014-10-23,4851, 132133.89
2014-10-24,3373, 91739.1
2014-10-27,9076, 246740.49
2014-10-28, 12915, 350931.01
2014-10-29, 11357, 307746.79
2014-10-30, 16888, 451578.93
2014-10-31, 26416, 690518.98
2014-11-03, 14893, 387721.31
2014-11-04, 10740, 279092.83
2014-11-05, 25816, 659080.91
2014-11-06,9311, 237172.71
2014-11-07, 29902, 763171.8
2014-11-10, 15725, 406864.17
2014-11-11, 19381, 496775.34
2014-11-12, 16851, 435646.14
2014-11-13, 19922, 514250.31
2014-11-14, 27679, 716981.88
2014-11-17, 17576, 464079.07
2014-11-18, 21190, 563521.36
2014-11-19, 27159, 723080.56
2014-11-20, 18668, 494949.44
2014-11-21, 19773, 524143.5
2014-11-24, 12255, 324820.08
2014-11-25, 18849, 499043.78
2014-11-26, 11953, 315720.36
2014-11-27, 15745, 414757.16
2014-11-28, 31740, 832698.77
2014-12-01, 31046, 812384.32
2014-12-02, 15588, 414373.06
2014-12-03, 13436, 358379.58
2014-12-04, 13296, 354575.63
2014-12-05, 16798, 444813.99
2014-12-08, 11051, 291587.64
2014-12-09, 23786, 638625.26
2014-12-10, 16974, 461702.27
2014-12-11, 16815, 456509.42
2014-12-12, 14689, 398829.93
2014-12-15, 15610, 425120.07
2014-12-16, 30589, 834773.9
2014-12-17, 16814, 455764.51
2014-12-18, 19035, 513720.16
2014-12-19, 12081, 325546.49
2014-12-22, 12615, 338412.7
2014-12-23, 11786, 313791.01
2014-12-24,7241, 192729.11
2014-12-26, 12876, 347022.01
2014-12-29,9420, 253552.35
2014-12-30, 15853, 426867.37
2014-12-31, 11066, 296936.47
2015-01-01,1915, 51164.89
2015-01-02, 19328, 514262.86
2015-01-05, 16375, 440309.13
2015-01-06, 21046, 573345.11
2015-01-07, 16066, 437526.67
2015-01-08, 16777, 450869.54
2015-01-09, 14339, 384049.67
2015-01-12, 16405, 442207.34
2015-01-13, 17814, 483554.65
2015-01-14, 18545, 501920.12
2015-01-15, 34051, 923591.52
2015-01-16, 20834, 574265.52
2015-01-19, 10403, 288319.55
2015-01-20, 22224, 621506.2
2015-01-21, 22037, 619079.68
2015-01-22, 23537, 658707.07
2015-01-23, 14210, 397388.63
2015-01-27, 20720, 575259.79
2015-01-28, 14991, 417573.48
2015-01-29, 25450, 704207.86
2015-01-30, 28495, 787798.06
2015-02-02, 14723, 408109.18
2015-02-03, 19595, 539773.3
2015-02-04, 15559, 427024.55
2015-02-05, 18018, 493601.21
2015-02-06, 20721, 561669.49
2015-02-09, 10221, 275144.36
2015-02-10, 11312, 304129.43
2015-02-11, 13319, 356611.55
2015-02-12, 16257, 432876.68
2015-02-13, 12814, 341946.53
2015-02-16,7031, 188312.45
2015-02-17, 13090, 345317.99
2015-02-18, 16312, 428018.07
2015-02-19, 16201, 427380.28
2015-02-20, 15798, 415414.4
2015-02-23, 18633, 487065.62
2015-02-24, 18413, 480696.91
2015-02-25, 16911, 443379.36
2015-02-26, 13897, 365165.1
2015-02-27, 13368, 350466.09
2015-02-28, 13008, 342629.97
2015-03-02, 14949, 398505.69
2015-03-03, 14226, 376794.27
2015-03-04, 14327, 379748
2015-03-05, 12362, 327929.37
2015-03-06, 13874, 363867.45
2015-03-09, 12150, 316720.36
2015-03-10, 22524, 583726.68
2015-03-11, 19570, 505132.87
2015-03-12, 22086, 567816.41
2015-03-13, 18861, 487252.78
2015-03-16, 14101, 364172.36
2015-03-17, 21343, 548126.71
2015-03-18, 16651, 426238.24
2015-03-19, 20347, 526995.84
2015-03-20, 17963, 467823.53
2015-03-23, 12001, 313856.19
2015-03-24, 14695, 386192.88
2015-03-25, 16156, 426309.81
2015-03-26, 20191, 541739.42
2015-03-27, 18781, 500412.93
2015-03-30, 20179, 532795.85
2015-03-31, 23761, 625566.96
2015-04-01, 16888, 447045.58
2015-04-02,9499, 252620.84
2015-04-06, 13285, 358516.49
2015-04-07,9853, 265114.34
2015-04-08, 11191, 300043.12
2015-04-09, 13315, 353438.38
2015-04-10, 13871, 370322.33
2015-04-13, 11186, 298904.4
2015-04-14,9434, 250067.74
2015-04-15, 13525, 359350.55
2015-04-16, 13769, 368011.34
2015-04-17, 11518, 308303.76
2015-04-20, 12510, 336239.11
2015-04-21, 10272, 275965.36
2015-04-22, 14246, 381913.92
2015-04-23, 12312, 329788.59
2015-04-24, 15488, 415306.19
2015-04-27, 16470, 442855.76
2015-04-28, 13704, 371369
2015-04-29, 13347, 362758.03
2015-04-30, 19756, 533124.51
2015-05-01,8084, 215066.99
2015-05-04,7829, 210210.35
2015-05-05, 14326, 385348.42
2015-05-06, 13342, 359491.92
2015-05-07, 15046, 405482.53
2015-05-08, 13876, 373307.36
2015-05-11, 13761, 369768.89
2015-05-12, 20394, 552139.48
2015-05-13, 22079, 601942.49
2015-05-14, 15866, 435984.94
2015-05-15, 14552, 398641.67
2015-05-18, 11814, 326464.84
2015-05-19, 18197, 499023.07
2015-05-20, 12225, 333457.13
2015-05-21, 13262, 360906.1
2015-05-22, 12609, 342791.07
2015-05-25,6129, 166417.31
2015-05-26, 15295, 413420.26
2015-05-27, 12572, 338500.82
2015-05-28, 14112, 379239.15
2015-05-29, 14705, 396074.63
2015-06-01, 16599, 449068.94
2015-06-02, 10519, 285155.13
2015-06-03, 11604, 314755.4
2015-06-04, 15836, 427170.54
2015-06-05, 14423, 385592.45
2015-06-08,9067, 242987.29
2015-06-09, 12004, 322294.98
2015-06-10, 10945, 295085.52
2015-06-11, 11337, 304858.67
2015-06-12,9151, 246386.53
2015-06-15, 13261, 356881.53
2015-06-16,9976, 269143.56
2015-06-17,8734, 234697.83
2015-06-18, 14597, 395597.2
2015-06-19,8928, 242087.89
2015-06-22, 12099, 324994.45
2015-06-23, 12859, 343312.68
2015-06-24, 11881, 315770.31
2015-06-25,9662, 256313.11
2015-06-26, 12947, 343209.12
2015-06-29, 14208, 380011.07
2015-06-30, 15930, 422624.62
2015-07-01, 10204, 269989.46
2015-07-02, 14038, 368434.82
2015-07-03,8339, 219305.89
2015-07-06, 10458, 274925.96
2015-07-07, 17330, 452831.36
2015-07-08, 16698, 434925.8
2015-07-09, 13010, 340129.48
2015-07-10,9881, 257912.04
2015-07-13, 11230, 292221.26
2015-07-14, 10782, 279951.59
2015-07-15, 11945, 309207.14
2015-07-16, 10970, 282583.32
2015-07-17, 14073, 360577.55
2015-07-20, 21248, 532461.98
2015-07-21, 16739, 417722.69
2015-07-22, 21128, 521329.02
2015-07-23, 19895, 493795.69
2015-07-24, 24183, 594477.11
2015-07-27, 26312, 656014.54
2015-07-28, 18240, 452138.9
2015-07-29, 17666, 438036.29
2015-07-30, 23962, 592799.69
2015-07-31, 26370, 653185.24
2015-08-03, 11239, 280184.22
2015-08-04, 11638, 288784.56
2015-08-05, 12448, 307807.33
2015-08-06, 11757, 290834.45
2015-08-07, 20416, 507276.32
2015-08-10, 17090, 427774.25
2015-08-11, 20294, 514109.81
2015-08-12, 21689, 559555.82
2015-08-13, 14445, 374407.34
2015-08-14, 14415, 372457.28
2015-08-17, 11289, 293384.29
2015-08-18, 18004, 468037.64
2015-08-19, 19645, 512282.46
2015-08-20, 23393, 622017.06
2015-08-21, 28457, 771264.13
2015-08-24, 26566, 729726.96
2015-08-25, 24479, 660167.73
2015-08-26, 28602, 758578.83
2015-08-27, 15872, 418139.64
2015-08-28, 15913, 422485.14
2015-08-31, 11292, 301010.75
2015-09-01, 17779, 477627.36
2015-09-02, 18115, 484122.12
2015-09-03, 15822, 418971.31
2015-09-04, 18713, 496423.56
2015-09-07,6623, 175869.21
2015-09-08,9862, 260960.57
2015-09-09, 12915, 339056.87
2015-09-10, 16264, 425548.77
2015-09-11, 13921, 362775.89
2015-09-14, 10366, 269946.76
2015-09-15, 12528, 325916.2
2015-09-16, 20197, 528575.68
2015-09-17,6071, 159071.73
2015-09-18, 18037, 477369.62
2015-09-21, 12625, 333640.22
2015-09-22, 19073, 501941.02
2015-09-23, 15295, 403245.46
2015-09-24, 22789, 610287.26
2015-09-25, 10993, 294031.34
2015-09-28, 18191, 482953.13
2015-09-29, 20920, 551668.95
2015-09-30, 29915, 780207.24
2015-10-01, 12802, 333242.64
2015-10-05, 15632, 412455.96
2015-10-06, 16190, 430068.21
2015-10-07, 17657, 469622.11
2015-10-08, 14704, 389016.19
2015-10-09, 15263, 405845.75
2015-10-12, 15006, 402579.56
2015-10-13, 17836, 478845.83
2015-10-14, 21138, 572990.61
2015-10-15, 21419, 583605.77
2015-10-16, 11872, 322205.36
2015-10-19, 10614, 286408.81
2015-10-20, 16065, 434921.53
2015-10-21, 12711, 344163.84
2015-10-22,7639, 205598.6
2015-10-23, 18739, 504326.77
2015-10-26, 11612, 311717.26
2015-10-27, 10339, 277775.54
2015-10-28, 14678, 397190.86
2015-10-29, 19761, 528679.4
2015-10-30, 14239, 377919.17
2015-11-02, 10133, 268203.38
2015-11-03, 22050, 578609.48
2015-11-04, 15959, 413692.88
2015-11-05, 16497, 425905.71
2015-11-06, 19100, 490261.48
2015-11-09, 12254, 314900.2
2015-11-10, 10872, 278588.76
2015-11-11,2423, 61801.85
2015-11-12, 10948, 277842.45
2015-11-13, 10893, 276781.44
2015-11-16, 17696, 452142.55
2015-11-17, 18750, 472388.62
2015-11-18, 12692, 318484.93
2015-11-19, 17402, 439554.66
2015-11-20, 15722, 398682.11
2015-11-23, 14786, 372077.36
2015-11-24, 13742, 347323.33
2015-11-25,7555, 190543.7
2015-11-26,9198, 232810.28
2015-11-27, 19692, 495640.9
2015-11-30, 17632, 442195.13
2015-12-01, 17292, 438090.71
2015-12-02, 14760, 371858.74
2015-12-03, 18431, 462140.49
2015-12-04, 24455, 622424.64
2015-12-07,9246, 236964.1
2015-12-08, 14798, 377105.28
2015-12-09, 15965, 408524.43
2015-12-10, 10518, 267822.93
2015-12-11, 18831, 479511.75
2015-12-14, 13788, 351358.37
2015-12-15, 13951, 352985.85
2015-12-16, 14022, 355547.41
2015-12-17, 22012, 551025.55
2015-12-18, 17140, 428452.14
2015-12-21, 15555, 392858.83
2015-12-22, 12148, 307586.04
2015-12-23, 12134, 305193.21
2015-12-24,5323, 134001.32
2015-12-28,8117, 204160.45
2015-12-29, 11090, 279462.99
2015-12-30, 12686, 318306.66
2015-12-31,8401, 209442.1
2016-01-01,1985, 49567.29
2016-01-04, 20426, 517082.77
2016-01-05, 14632, 371804.76
2016-01-06, 22678, 581346.66
2016-01-07, 23524, 611297.99
2016-01-08, 22730, 589572.76
2016-01-11, 17277, 449038.57
2016-01-12, 18134, 467599.21
2016-01-13, 16125, 413147.05
2016-01-14, 18704, 483684.81
2016-01-15, 21345, 554381.61
2016-01-18, 10104, 263119.38
2016-01-19, 15160, 393804.18
2016-01-20, 25476, 671397.55
2016-01-21, 23871, 628546.26
2016-01-22, 16042, 419979.24
2016-01-25, 14596, 384744.68
2016-01-27, 14938, 399547.35
2016-01-28, 18517, 495500.58
2016-01-29, 20573, 547616.02
2016-02-01, 13665, 366873.56
2016-02-02, 11696, 315333.23
2016-02-03, 18481, 501424.23
2016-02-04, 15506, 423702.05
2016-02-05, 21460, 588910.79
2016-02-08, 23592, 661954.94
2016-02-09, 22140, 628014.57
2016-02-10, 21372, 602747.02
2016-02-11, 35734, 1049582.76
2016-02-12, 20404, 602603.65
2016-02-15, 16727, 481650.7
2016-02-16, 23461, 676113.32
2016-02-17, 16674, 481561.99
2016-02-18, 18489, 535619.08
2016-02-19, 19726, 581310.39
2016-02-22, 21251, 615963.9
2016-02-23, 20967, 613147.65
2016-02-24, 26926, 796853.44
2016-02-25, 23720, 702820.61
2016-02-26, 25839, 762166.98
2016-02-29, 25612, 757746.37
2016-03-01, 24669, 729125.9
2016-03-02, 22369, 653641.16
2016-03-03, 18075, 531945.25
2016-03-04, 34047, 1014607.45
2016-03-07,9363, 279068.84
2016-03-08, 25155, 754666.86
2016-03-09, 23283, 688094.42
2016-03-10, 34705, 1023729.36
2016-03-11, 20830, 618961.51
2016-03-14, 19011, 559127.99
2016-03-15, 20995, 610063.46
2016-03-16, 14504, 421213.78
2016-03-17, 23268, 685971.28
2016-03-18, 17025, 497792.44
2016-03-21, 18422, 533626.31
2016-03-22, 21194, 617889.23
2016-03-23, 21339, 613391.42
2016-03-24,4634, 132701.15
2016-03-28, 11533, 328266.84
2016-03-29, 21347, 609999.31
2016-03-30, 21834, 625955.38
2016-03-31, 19760, 565837.69
2016-04-01, 21128, 604324.28
2016-04-04, 11468, 325476.24
2016-04-05, 19833, 570268
2016-04-06, 13426, 385412.89
2016-04-07, 22219, 643016.54
2016-04-08, 16171, 468652.07
2016-04-11, 16682, 488348.21
2016-04-12, 16043, 471158.58
2016-04-13, 15222, 444024.55
2016-04-14, 10896, 314948.27
2016-04-15,7207, 208376.28
2016-04-18, 14142, 411083.7
2016-04-19, 10445, 305843.52
2016-04-20, 14347, 420269.04
2016-04-21, 25012, 737529.77
2016-04-22, 16254, 475799.18
2016-04-25, 14575, 425388.09
2016-04-26, 16012, 466831.61
2016-04-27, 16322, 478919.35
2016-04-28, 18460, 545488.67
2016-04-29, 23861, 717859.42
2016-05-02, 17594, 534473.03
2016-05-03, 22980, 696259.82
2016-05-04, 22051, 664265.92
2016-05-05, 19412, 583422.4
2016-05-06, 25435, 769179.29
2016-05-09, 18612, 558100.11
2016-05-10, 15099, 449457.95
2016-05-11, 16349, 490173.49
2016-05-12, 17495, 522946.62
2016-05-13, 17297, 517989.15
2016-05-16, 15941, 480373.15
2016-05-17, 17239, 517449.97
2016-05-18, 14485, 434735.09
